Sex,S,C,Q,Age,Pclass,SibSp,Parch,Fare,Survived
1,1,0,0,22,3,1,0,7.25,0
0,0,1,0,38,1,1,0,712833.00,1
0,1,0,0,26,3,0,0,7925.00,1
0,1,0,0,35,1,1,0,53.10,1
1,1,0,0,35,3,0,0,8.05,0
1,0,0,1,29,3,0,0,84583.00,0
1,1,0,0,54,1,0,0,518625.00,0
1,1,0,0,2,3,3,1,21075.00,0
0,1,0,0,27,3,0,2,111333.00,1
0,0,1,0,14,2,1,0,300708.00,1
0,1,0,0,4,3,1,1,16.70,1
0,1,0,0,58,1,0,0,26.55,1
1,1,0,0,20,3,0,0,8.05,0
1,1,0,0,39,3,1,5,31275.00,0
0,1,0,0,14,3,0,0,78542.00,0
0,1,0,0,55,2,0,0,16.00,1
1,0,0,1,2,3,4,1,29125.00,0
1,1,0,0,29,2,0,0,13.00,1
0,1,0,0,31,3,1,0,18.00,0
0,0,1,0,29,3,0,0,7225.00,1
1,1,0,0,35,2,0,0,26.00,0
1,1,0,0,34,2,0,0,13.00,1
0,0,0,1,15,3,0,0,80292.00,1
1,1,0,0,28,1,0,0,35.50,1
0,1,0,0,8,3,3,1,21075.00,0
0,1,0,0,38,3,1,5,313875.00,1
1,0,1,0,29,3,0,0,7225.00,0
1,1,0,0,19,1,3,2,263.00,0
0,0,0,1,29,3,0,0,78792.00,1
1,1,0,0,29,3,0,0,78958.00,0
1,0,1,0,40,1,0,0,277208.00,0
0,0,1,0,29,1,1,0,1465208.00,1
0,0,0,1,29,3,0,0,7.75,1
1,1,0,0,66,2,0,0,10.50,0
1,0,1,0,28,1,1,0,821708.00,0
1,1,0,0,42,1,1,0,52.00,0
1,0,1,0,29,3,0,0,72292.00,1
1,1,0,0,21,3,0,0,8.05,0
0,1,0,0,18,3,2,0,18.00,0
0,0,1,0,14,3,1,0,112417.00,1
0,1,0,0,40,3,1,0,9475.00,0
0,1,0,0,27,2,1,0,21.00,0
1,0,1,0,29,3,0,0,78958.00,0
0,0,1,0,3,2,1,2,415792.00,1
0,0,0,1,19,3,0,0,78792.00,1
1,1,0,0,29,3,0,0,8.05,0
1,0,0,1,29,3,1,0,15.50,0
0,0,0,1,29,3,0,0,7.75,1
1,0,1,0,29,3,2,0,216792.00,0
0,1,0,0,18,3,1,0,17.80,0
1,1,0,0,7,3,4,1,396875.00,0
1,1,0,0,21,3,0,0,7.80,0
0,0,1,0,49,1,1,0,767292.00,1
0,1,0,0,29,2,1,0,26.00,1
1,0,1,0,65,1,0,1,619792.00,0
1,1,0,0,29,1,0,0,35.50,1
0,1,0,0,21,2,0,0,10.50,1
1,0,1,0,28,3,0,0,72292.00,0
0,1,0,0,5,2,1,2,27.75,1
1,1,0,0,11,3,5,2,46.90,0
1,0,1,0,22,3,0,0,72292.00,0
0,1,0,0,38,1,0,0,80.00,1
1,1,0,0,45,1,1,0,83475.00,0
1,1,0,0,4,3,3,2,27.90,0
1,0,1,0,29,1,0,0,277208.00,0
1,0,1,0,29,3,1,1,152458.00,1
0,1,0,0,29,2,0,0,10.50,1
1,1,0,0,19,3,0,0,81583.00,0
0,1,0,0,17,3,4,2,7925.00,1
1,1,0,0,26,3,2,0,86625.00,0
1,1,0,0,32,2,0,0,10.50,0
0,1,0,0,16,3,5,2,46.90,0
1,1,0,0,21,2,0,0,73.50,0
1,0,1,0,26,3,1,0,144542.00,0
1,1,0,0,32,3,0,0,564958.00,1
1,1,0,0,25,3,0,0,7.65,0
1,1,0,0,29,3,0,0,78958.00,0
1,1,0,0,29,3,0,0,8.05,0
1,1,0,0,1,2,0,2,29.00,1
0,1,0,0,30,3,0,0,12475.00,1
1,1,0,0,22,3,0,0,9.00,0
1,1,0,0,29,3,0,0,9.50,1
0,0,0,1,29,3,0,0,77875.00,1
1,1,0,0,28,1,0,0,47.10,0
0,1,0,0,17,2,0,0,10.50,1
0,1,0,0,33,3,3,0,15.85,1
1,1,0,0,16,3,1,3,34375.00,0
1,1,0,0,29,3,0,0,8.05,0
0,1,0,0,23,1,3,2,263.00,1
1,1,0,0,24,3,0,0,8.05,0
1,1,0,0,29,3,0,0,8.05,0
1,1,0,0,20,3,0,0,78542.00,0
1,1,0,0,46,1,1,0,61175.00,0
1,1,0,0,26,3,1,2,20575.00,0
1,1,0,0,59,3,0,0,7.25,0
1,1,0,0,29,3,0,0,8.05,0
1,0,1,0,71,1,0,0,346542.00,0
1,0,1,0,23,1,0,1,633583.00,1
0,1,0,0,34,2,0,1,23.00,1
1,1,0,0,34,2,1,0,26.00,0
0,1,0,0,28,3,0,0,78958.00,0
1,1,0,0,29,3,0,0,78958.00,0
1,1,0,0,21,1,0,1,772875.00,0
1,1,0,0,33,3,0,0,86542.00,0
1,1,0,0,37,3,2,0,7925.00,0
1,1,0,0,28,3,0,0,78958.00,0
0,1,0,0,21,3,0,0,7.65,1
1,1,0,0,29,3,0,0,7775.00,1
1,1,0,0,38,3,0,0,78958.00,0
0,0,0,1,29,3,1,0,24.15,1
1,1,0,0,47,1,0,0,52.00,0
0,0,1,0,14,3,1,0,144542.00,0
1,1,0,0,22,3,0,0,8.05,0
0,1,0,0,20,3,1,0,9825.00,0
0,0,1,0,17,3,0,0,144583.00,0
1,1,0,0,21,3,0,0,7925.00,0
