id,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1.00,0.00,7.00,0.27,0.36,20.70,0.05,45.00,170.00,1.00,3.00,0.45,8.80,6.00
2.00,0.00,6.30,0.30,0.34,1.60,0.05,14.00,132.00,0.99,3.30,0.49,9.50,6.00
3.00,0.00,8.10,0.28,0.40,6.90,0.05,30.00,97.00,1.00,3.26,0.44,10.10,6.00
4.00,0.00,7.20,0.23,0.32,8.50,0.06,47.00,186.00,1.00,3.19,0.40,9.90,6.00
5.00,0.00,7.20,0.23,0.32,8.50,0.06,47.00,186.00,1.00,3.19,0.40,9.90,6.00
6.00,0.00,8.10,0.28,0.40,6.90,0.05,30.00,97.00,1.00,3.26,0.44,10.10,6.00
7.00,0.00,6.20,0.32,0.16,7.00,0.05,30.00,136.00,0.99,3.18,0.47,9.60,6.00
8.00,0.00,7.00,0.27,0.36,20.70,0.05,45.00,170.00,1.00,3.00,0.45,8.80,6.00
9.00,0.00,6.30,0.30,0.34,1.60,0.05,14.00,132.00,0.99,3.30,0.49,9.50,6.00
10.00,0.00,8.10,0.22,0.43,1.50,0.04,28.00,129.00,0.99,3.22,0.45,11.00,6.00
11.00,0.00,8.10,0.27,0.41,1.45,0.03,11.00,63.00,0.99,2.99,0.56,12.00,5.00
12.00,0.00,8.60,0.23,0.40,4.20,0.04,17.00,109.00,0.99,3.14,0.53,9.70,5.00
13.00,0.00,7.90,0.18,0.37,1.20,0.04,16.00,75.00,0.99,3.18,0.63,10.80,5.00
14.00,0.00,6.60,0.16,0.40,1.50,0.04,48.00,143.00,0.99,3.54,0.52,12.40,7.00
15.00,0.00,8.30,0.42,0.62,19.25,0.04,41.00,172.00,1.00,2.98,0.67,9.70,5.00
16.00,0.00,6.60,0.17,0.38,1.50,0.03,28.00,112.00,0.99,3.25,0.55,11.40,7.00
17.00,0.00,6.30,0.48,0.04,1.10,0.05,30.00,99.00,0.99,3.24,0.36,9.60,6.00
18.00,0.00,6.20,0.66,0.48,1.20,0.03,29.00,75.00,0.99,3.33,0.39,12.80,8.00
19.00,0.00,7.40,0.34,0.42,1.10,0.03,17.00,171.00,0.99,3.12,0.53,11.30,6.00
20.00,0.00,6.50,0.31,0.14,7.50,0.04,34.00,133.00,1.00,3.22,0.50,9.50,5.00
21.00,0.00,6.20,0.66,0.48,1.20,0.03,29.00,75.00,0.99,3.33,0.39,12.80,8.00
22.00,0.00,6.40,0.31,0.38,2.90,0.04,19.00,102.00,0.99,3.17,0.35,11.00,7.00
23.00,0.00,6.80,0.26,0.42,1.70,0.05,41.00,122.00,0.99,3.47,0.48,10.50,8.00
24.00,0.00,7.60,0.67,0.14,1.50,0.07,25.00,168.00,0.99,3.05,0.51,9.30,5.00
25.00,0.00,6.60,0.27,0.41,1.30,0.05,16.00,142.00,1.00,3.42,0.47,10.00,6.00
26.00,0.00,7.00,0.25,0.32,9.00,0.05,56.00,245.00,1.00,3.25,0.50,10.40,6.00
27.00,0.00,6.90,0.24,0.35,1.00,0.05,35.00,146.00,0.99,3.45,0.44,10.00,6.00
28.00,0.00,7.00,0.28,0.39,8.70,0.05,32.00,141.00,1.00,3.38,0.53,10.50,6.00
29.00,0.00,7.40,0.27,0.48,1.10,0.05,17.00,132.00,0.99,3.19,0.49,11.60,6.00
30.00,0.00,7.20,0.32,0.36,2.00,0.03,37.00,114.00,0.99,3.10,0.71,12.30,7.00
31.00,0.00,8.50,0.24,0.39,10.40,0.04,20.00,142.00,1.00,3.20,0.53,10.00,6.00
32.00,0.00,8.30,0.14,0.34,1.10,0.04,7.00,47.00,0.99,3.47,0.40,10.20,6.00
33.00,0.00,7.40,0.25,0.36,2.05,0.05,31.00,100.00,0.99,3.19,0.44,10.80,6.00
34.00,0.00,6.20,0.12,0.34,1.50,0.05,43.00,117.00,0.99,3.42,0.51,9.00,6.00
35.00,0.00,5.80,0.27,0.20,14.95,0.04,22.00,179.00,1.00,3.37,0.37,10.20,5.00
36.00,0.00,7.30,0.28,0.43,1.70,0.08,21.00,123.00,0.99,3.19,0.42,12.80,5.00
37.00,0.00,6.50,0.39,0.23,5.40,0.05,25.00,149.00,0.99,3.24,0.35,10.00,5.00
38.00,0.00,7.00,0.33,0.32,1.20,0.05,38.00,138.00,0.99,3.13,0.28,11.20,6.00
39.00,0.00,7.30,0.24,0.39,17.95,0.06,45.00,149.00,1.00,3.21,0.36,8.60,5.00
40.00,0.00,7.30,0.24,0.39,17.95,0.06,45.00,149.00,1.00,3.21,0.36,8.60,5.00
41.00,0.00,6.70,0.23,0.39,2.50,0.17,63.00,158.00,0.99,3.11,0.36,9.40,6.00
42.00,0.00,6.70,0.24,0.39,2.90,0.17,63.00,157.00,0.99,3.10,0.34,9.40,6.00
43.00,0.00,7.00,0.31,0.26,7.40,0.07,28.00,160.00,1.00,3.13,0.46,9.80,6.00
44.00,0.00,6.60,0.24,0.27,1.40,0.06,33.00,152.00,0.99,3.22,0.56,9.50,6.00
